dataset,delta,lambda,err
a1a,0.0,1.510611735330836e-6,0.7391453342830326
a1a,0.010101010101010102,1.5106117353308364,0.9987594145948262
a1a,0.010101010101010102,1.3138530501467138,0.9987594145948262
a1a,0.010101010101010102,1.1427223799514368,0.9987594145948262
a1a,0.010101010101010102,0.9938816502317818,0.9987594145948262
a1a,0.010101010101010102,0.8644275740092088,0.9987594145948262
a1a,0.010101010101010102,0.7518350203298194,0.9987594145948262
a1a,0.010101010101010102,0.6539077590649812,0.9987594145948262
a1a,0.010101010101010102,0.5687356212507972,0.9987594145948262
a1a,0.010101010101010102,0.4946572393360863,0.9987594145948262
a1a,0.010101010101010102,0.43022764055022716,0.9987594145948262
a1a,0.010101010101010102,0.3741900612671623,0.9987594145948262
a1a,0.010101010101010102,0.32545143257660164,0.9987594145948262
a1a,0.010101010101010102,0.28306105888402805,0.9987594145948262
a1a,0.010101010101010102,0.246192073644317,0.9987594145948262
a1a,0.010101010101010102,0.21412531050454858,0.9987594145948262
a1a,0.010101010101010102,0.1862352752465543,0.976799396380001
a1a,0.010101010101010102,0.16197794489793893,0.9338940441819723
a1a,0.010101010101010102,0.14088015602106066,0.9017473336018047
a1a,0.010101010101010102,0.12253037518795522,0.8776988132085711
a1a,0.010101010101010102,0.10657067161010685,0.8474912236318211
a1a,0.010101010101010102,0.09268973534119775,0.8184643567770541
a1a,0.010101010101010102,0.08061680486591302,0.797095280441938
a1a,0.010101010101010102,0.07011638562636031,0.7816667418280091
a1a,0.010101010101010102,0.06098365646569077,0.7702498567486078
a1a,0.010101010101010102,0.05304047438702008,0.7580837562773657
a1a,0.010101010101010102,0.0461318996964848,0.7425901736414726
a1a,0.010101010101010102,0.04012317374988128,0.7294926844740343
a1a,0.010101010101010102,0.034897090350819254,0.7193434447323085
a1a,0.010101010101010102,0.03035170952688772,0.709411828356659
a1a,0.010101010101010102,0.02639836908875527,0.700450550563895
a1a,0.010101010101010102,0.022959955185681016,0.6936411343603991
a1a,0.010101010101010102,0.01996939812289507,0.6883630430556602
a1a,0.010101010101010102,0.017368364100265415,0.6835607073553244
a1a,0.010101010101010102,0.015106117353308359,0.6787526123110548
a1a,0.010101010101010102,0.013138530501467134,0.6751527591790717
a1a,0.010101010101010102,0.011427223799514366,0.6728791079856238
a1a,0.010101010101010102,0.009938816502317817,0.6718097415148945
a1a,0.010101010101010102,0.008644275740092088,0.6709782268213584
a1a,0.010101010101010102,0.007518350203298194,0.6713307848391366
a1a,0.010101010101010102,0.006539077590649814,0.6717473907162621
a1a,0.010101010101010102,0.005687356212507973,0.672010861274683
