alpha,dataset,response,method,delta,lambda,err,lo,hi
0,heart,binary,l1,NaN,0.00016693986685675964,0.5976886332526301,0.5685848211670977,0.6267924453381625
0,australian,binary,ours,0.16,0.015037020701598867,0.4289089869045651,0.4098551499778541,0.44796282383127606
0,australian,binary,std,NaN,0.061125233255542186,0.4296906251374553,0.4108725119828752,0.4485087382920354
0,australian,binary,max_abs,NaN,0.02781755453922137,0.4411143229231556,0.42119814177391424,0.461030504072397
0,australian,binary,min_max,NaN,0.03677316999509471,0.44730899306100164,0.427626855995425,0.4669911301265783
0,australian,binary,l1,NaN,5.2462187047378915e-5,0.6498430125222175,0.6259873952764013,0.6736986297680337
0,a7a,binary,ours,0.0,0.0023249667412383506,0.6219426067764461,0.6181132394871076,0.6257719740657846
0,a7a,binary,std,NaN,0.06927484302760346,0.6231180539422606,0.6193738078872434,0.6268622999972778
0,a7a,binary,max_abs,NaN,0.0025516481283214933,0.6218633532663081,0.618009948141298,0.6257167583913184
0,a7a,binary,min_max,NaN,0.0025516481283214933,0.6218633532663081,0.618009948141298,0.6257167583913184
0,a7a,binary,l1,NaN,7.777653584310171e-7,0.8069493792125766,0.8003912172557557,0.8135075411693975
1,housing,continuous,ours,0.12,0.030735835848473263,0.29631959608145736,0.27909806494201606,0.31354112722089866
1,housing,continuous,std,NaN,0.030735835848473263,0.29652286916779164,0.27936064883297607,0.3136850895026072
1,housing,continuous,max_abs,NaN,0.02808059607448449,0.321895192700933,0.30286078689644597,0.34092959850542
1,housing,continuous,min_max,NaN,0.05330374515376501,0.3639396810818376,0.33177944995858244,0.3960999122050928
1,housing,continuous,l1,NaN,0.01392039282485958,0.815701927664675,0.7940656914786555,0.8373381638506945
1,rhee2006,continuous,ours,0.04,0.0017961605380980156,0.14897611841251443,0.1429802535283098,0.15497198329671907
1,rhee2006,continuous,std,NaN,0.013226344992181553,0.1643038290967607,0.1569472101256946,0.1716604480678268
1,rhee2006,continuous,max_abs,NaN,0.0015407390820237588,0.14028024615922655,0.13588856085444911,0.14467193146400398
1,rhee2006,continuous,min_max,NaN,0.0015407390820237588,0.14028024615922655,0.13588856085444911,0.14467193146400398
1,rhee2006,continuous,l1,NaN,0.002705957820543677,0.8399872641949712,0.8182909420580652,0.8616835863318771
1,a1a,binary,ours,0.12,0.0010799549758105354,0.6369088700312006,0.6244603631522926,0.6493573769101085
1,a1a,binary,std,NaN,0.007392314336337558,0.6408261414110603,0.629070498830395,0.6525817839917256
1,a1a,binary,max_abs,NaN,0.0008328880065634794,0.6355609841448154,0.62401592216799,0.6471060461216409
1,a1a,binary,min_max,NaN,0.0008328880065634794,0.6355609841448154,0.62401592216799,0.6471060461216409
1,a1a,binary,l1,NaN,0.00035532288170382907,0.9810910717265077,0.9634042359891736,0.9987779074638418
1,w1a,binary,ours,0.02,0.00013903265863772577,0.6346855618724175,0.6050512660273233,0.6643198577175118
1,w1a,binary,std,NaN,0.002437244133377584,0.671912480804979,0.6499459019024383,0.6938790597075197
1,w1a,binary,max_abs,NaN,0.00011872962691763504,0.6332616058963733,0.6033793362004076,0.6631438755923389
1,w1a,binary,min_max,NaN,0.00011872962691763504,0.6332616058963733,0.6033793362004076,0.6631438755923389
1,w1a,binary,l1,NaN,0.0002965179209109672,0.7467590077233943,0.7196938623862523,0.7738241530605363
1,triazines,continuous,ours,0.26,0.007515143620581569,0.817696980103971,0.7897258832464097,0.8456680769615322
1,triazines,continuous,std,NaN,0.009052017096543696,0.8266664479607827,0.7987743241698605,0.8545585717517049
1,triazines,continuous,max_abs,NaN,0.0038685202750436067,0.8854889831092048,0.8652819330422729,0.9056960331761367
1,triazines,continuous,min_max,NaN,0.0032921929349685407,0.8682060444624404,0.8409032281601642,0.8955088607647167
1,triazines,continuous,l1,NaN,0.0002532000546568702,0.9971673483091036,0.966297130699226,1.0280375659189813
1,eunite2001,continuous,ours,0.06,0.02401918332940007,0.17719153650459848,0.16439931379755315,0.18998375921164382
1,eunite2001,continuous,std,NaN,0.3249910255106916,0.19230580677240497,0.17743532485079055,0.20717628869401938
1,eunite2001,continuous,max_abs,NaN,0.0053552054361213726,0.3907516341101471,0.34016826825229163,0.4413349999680025
1,eunite2001,continuous,min_max,NaN,0.0011002326903762957,0.2795849899301423,0.24783685706630734,0.31133312279397723
1,eunite2001,continuous,l1,NaN,0.21952142599464036,0.9646933031187777,0.942435149011669,0.9869514572258863
1,heart,binary,ours,0.54,0.007604927464172374,0.522502616573667,0.4948146454635806,0.5501905876837535
1,heart,binary,std,NaN,0.007604927464172374,0.5225101702441215,0.49480761072142593,0.5502127297668171
1,heart,binary,max_abs,NaN,0.0037742378819057855,0.5178534669317858,0.4916708598374408,0.5440360740261307
1,heart,binary,min_max,NaN,0.004435950051045456,0.5205058390256225,0.49450428501235266,0.5465073930388924
1,heart,binary,l1,NaN,0.0010731016703449598,0.7439985997966544,0.7096630450187905,0.7783341545745183
1,australian,binary,ours,0.1,0.006572790191577247,0.4271744622069383,0.4077723192606231,0.4465766051532535
1,australian,binary,std,NaN,0.008664343884260534,0.4284995115852021,0.4086488860409756,0.4483501371294286
1,australian,binary,max_abs,NaN,0.006278476914701471,0.44396668654735144,0.4230747796810533,0.4648585934136496
1,australian,binary,min_max,NaN,0.007562447671190959,0.44544634473856687,0.4242394021505667,0.466653287326567
1,australian,binary,l1,NaN,0.0004892641122519908,0.5417484315124341,0.5106454474521401,0.5728514155727281
1,a7a,binary,ours,0.0,0.00015656676309759024,0.6221647627452372,0.6183252235714063,0.6260043019190682
1,a7a,binary,std,NaN,0.001052916016874793,0.6230906202994265,0.6193278392939163,0.6268534013049367
1,a7a,binary,max_abs,NaN,0.00015656676309758967,0.6220930786313807,0.618227957389489,0.6259581998732725
1,a7a,binary,min_max,NaN,0.00015656676309758967,0.6220930786313807,0.618227957389489,0.6259581998732725
1,a7a,binary,l1,NaN,1.267563742041975e-5,0.9144274648518774,0.8985561036694152,0.9302988260343397
