alpha,dataset,delta,lambda,err,support_size
1,covtype.binary,0.2,0.0006309573444801926,0.7017225504444903,44.0
1,covtype.binary,0.2,0.0002511886431509578,0.7014147611978441,49.0
1,covtype.binary,0.2,9.999999999999994e-5,0.7013694129605187,52.0
1,covtype.binary,0.3,1.0,0.9999991325387079,0.0
1,covtype.binary,0.3,0.3981071705534973,0.9999991325387079,0.0
1,covtype.binary,0.3,0.15848931924611134,0.9999991325387079,0.0
1,covtype.binary,0.3,0.0630957344480193,0.8580962761451527,7.0
1,covtype.binary,0.3,0.02511886431509579,0.7573765454835271,18.0
1,covtype.binary,0.3,0.009999999999999998,0.722223041383349,26.0
1,covtype.binary,0.3,0.0039810717055349725,0.705748666556171,40.0
1,covtype.binary,0.3,0.0015848931924611128,0.702121510800108,43.0
1,covtype.binary,0.3,0.0006309573444801926,0.7014805255130008,47.0
1,covtype.binary,0.3,0.0002511886431509578,0.7013775779163848,51.0
1,covtype.binary,0.3,9.999999999999994e-5,0.7013644757383659,53.0
1,covtype.binary,0.4,1.0,0.9999991325387079,0.0
1,covtype.binary,0.4,0.3981071705534973,0.9999991325387079,0.0
1,covtype.binary,0.4,0.15848931924611134,0.9999991325387079,0.0
1,covtype.binary,0.4,0.0630957344480193,0.8351781951509362,11.0
1,covtype.binary,0.4,0.02511886431509579,0.7426119391266689,21.0
1,covtype.binary,0.4,0.009999999999999998,0.713359383442839,35.0
1,covtype.binary,0.4,0.0039810717055349725,0.7034558791125114,42.0
1,covtype.binary,0.4,0.0015848931924611128,0.701716268984141,48.0
1,covtype.binary,0.4,0.0006309573444801926,0.7014110507182704,50.0
1,covtype.binary,0.4,0.0002511886431509578,0.701368192728687,51.0
1,covtype.binary,0.4,9.999999999999994e-5,0.7013659843227598,53.0
1,covtype.binary,0.5,1.0,0.9999991325387079,0.0
1,covtype.binary,0.5,0.3981071705534973,0.9999991325387079,0.0
1,covtype.binary,0.5,0.15848931924611134,0.9702502813607586,2.0
1,covtype.binary,0.5,0.0630957344480193,0.7999630962305413,15.0
1,covtype.binary,0.5,0.02511886431509579,0.7294349678667441,29.0
1,covtype.binary,0.5,0.009999999999999998,0.7081694801882585,37.0
1,covtype.binary,0.5,0.0039810717055349725,0.7025392611744481,46.0
1,covtype.binary,0.5,0.0015848931924611128,0.7015359420131345,50.0
1,covtype.binary,0.5,0.0006309573444801926,0.7013843738928077,52.0
1,covtype.binary,0.5,0.0002511886431509578,0.7013664314546694,52.0
1,covtype.binary,0.5,9.999999999999994e-5,0.7013669513537745,54.0
1,covtype.binary,0.6,1.0,0.9999991325387079,0.0
1,covtype.binary,0.6,0.3981071705534973,0.9999991325387079,0.0
1,covtype.binary,0.6,0.15848931924611134,0.9244560776708234,7.0
1,covtype.binary,0.6,0.0630957344480193,0.7781518334677833,19.0
1,covtype.binary,0.6,0.02511886431509579,0.7205136024498815,32.0
1,covtype.binary,0.6,0.009999999999999998,0.7058811755643747,40.0
1,covtype.binary,0.6,0.0039810717055349725,0.7021355898974526,50.0
1,covtype.binary,0.6,0.0015848931924611128,0.7014779266066791,51.0
1,covtype.binary,0.6,0.0006309573444801926,0.701380410580774,53.0
1,covtype.binary,0.6,0.0002511886431509578,0.7013679962895983,54.0
1,covtype.binary,0.6,9.999999999999994e-5,0.7013678139907596,54.0
1,covtype.binary,0.7,1.0,0.9999991325387079,0.0
1,covtype.binary,0.7,0.3981071705534973,0.9999991325387079,0.0
1,covtype.binary,0.7,0.15848931924611134,0.8802173917579537,10.0
1,covtype.binary,0.7,0.0630957344480193,0.7612478596636362,28.0
1,covtype.binary,0.7,0.02511886431509579,0.7160675943112088,36.0
1,covtype.binary,0.7,0.009999999999999998,0.7048383062912501,45.0
1,covtype.binary,0.7,0.0039810717055349725,0.7019618777317562,52.0
1,covtype.binary,0.7,0.0015848931924611128,0.7014526621117035,52.0
1,covtype.binary,0.7,0.0006309573444801926,0.7013773683223092,52.0
1,covtype.binary,0.7,0.0002511886431509578,0.7013681731567345,54.0
1,covtype.binary,0.7,9.999999999999994e-5,0.7013683321836085,54.0
1,covtype.binary,0.8,1.0,0.9999991325387079,0.0
1,covtype.binary,0.8,0.3981071705534973,0.9685831146195314,4.0
1,covtype.binary,0.8,0.15848931924611134,0.8380770980803831,21.0
1,covtype.binary,0.8,0.0630957344480193,0.7523067400360215,36.0
1,covtype.binary,0.8,0.02511886431509579,0.7141642225083402,42.0
1,covtype.binary,0.8,0.009999999999999998,0.7043318571629513,47.0
1,covtype.binary,0.8,0.0039810717055349725,0.7018511709306146,51.0
1,covtype.binary,0.8,0.0015848931924611128,0.7014375531812284,52.0
1,covtype.binary,0.8,0.0006309573444801926,0.7013758454608617,53.0
1,covtype.binary,0.8,0.0002511886431509578,0.7013680673938545,54.0
1,covtype.binary,0.8,9.999999999999994e-5,0.7013684146638773,54.0
