alpha,dataset,delta,lambda,err,support_size
1,real-sim,0.6,0.15848931924611132,0.9999724576951281,0.0
1,real-sim,0.6,0.09999999999999998,0.9999724576951281,0.0
1,real-sim,0.6,0.06309573444801932,0.9999724576951281,0.0
1,real-sim,0.6,0.03981071705534972,0.9999724576951281,0.0
1,real-sim,0.6,0.0251188643150958,0.9999724576951281,0.0
1,real-sim,0.6,0.015848931924611134,0.9999724576951281,0.0
1,real-sim,0.6,0.01,0.9999724576951281,0.0
1,real-sim,0.7,0.9999999999999997,0.9999724576951281,0.0
1,real-sim,0.7,0.6309573444801931,0.9999724576951281,0.0
1,real-sim,0.7,0.3981071705534972,0.9999724576951281,0.0
1,real-sim,0.7,0.2511886431509579,0.9999724576951281,0.0
1,real-sim,0.7,0.15848931924611132,0.9999724576951281,0.0
1,real-sim,0.7,0.09999999999999998,0.9999724576951281,0.0
1,real-sim,0.7,0.06309573444801932,0.9999724576951281,0.0
1,real-sim,0.7,0.03981071705534972,0.9999724576951281,0.0
1,real-sim,0.7,0.0251188643150958,0.9999724576951281,0.0
1,real-sim,0.7,0.015848931924611134,0.9999724576951281,0.0
1,real-sim,0.7,0.01,0.9999724576951281,0.0
1,real-sim,0.8,0.9999999999999997,0.9999724576951281,0.0
1,real-sim,0.8,0.6309573444801931,0.9999724576951281,0.0
1,real-sim,0.8,0.3981071705534972,0.9999724576951281,0.0
1,real-sim,0.8,0.2511886431509579,0.9999724576951281,0.0
1,real-sim,0.8,0.15848931924611132,0.9999724576951281,0.0
1,real-sim,0.8,0.09999999999999998,0.9999724576951281,0.0
1,real-sim,0.8,0.06309573444801932,0.9999724576951281,0.0
1,real-sim,0.8,0.03981071705534972,0.9999724576951281,0.0
1,real-sim,0.8,0.0251188643150958,0.9999809911212836,2.0
1,real-sim,0.8,0.015848931924611134,1.0012079510861012,4.0
1,real-sim,0.8,0.01,1.0029109509390473,4.0
1,real-sim,0.9,0.9999999999999997,0.9999724576951281,0.0
1,real-sim,0.9,0.6309573444801931,0.9999724576951281,0.0
1,real-sim,0.9,0.3981071705534972,0.9999724576951281,0.0
1,real-sim,0.9,0.2511886431509579,0.9999724576951281,0.0
1,real-sim,0.9,0.15848931924611132,0.9999643525520946,2.0
